hostname,os_family,os_version,cpu_cores,memory_gb,gpu_present,domain_joined,open_ports,running_services,software_indicators,ad_groups,privilege_level,workstation_role,confidentiality,integrity,availability,record_source,confidence,is_synthetic
wks-0193,Windows,11,8,8,False,True,[ 445 3389],['Backup Agent' 'Print Spooler' 'RDP'],['POS Client' 'Receipt Printer Driver'],['IT Operations' 'QA'],Standard User,Point of Sale Workstation,Moderate,Moderate,High,synthetic_rules,0.75,True
wks-0194,macOS,14,8,8,False,True,[22],['Defender' 'RDP'],['Firefox' 'Office' 'Teams' 'VPN Client' 'Zoom'],['Call Center'],Power User,Executive Workstation,High,High,Moderate,synthetic_hybrid,0.92,True
wks-0195,Windows,10,4,64,False,True,[ 135  445 3389 8888],[],['Chrome' 'Postman' 'Selenium'],['Finance' 'Retail'],Power User,QA Test Workstation,Moderate,Moderate,Moderate,synthetic_rules,0.82,True
wks-0196,Windows,11,32,16,False,True,[ 135  139  445 3389],['Defender' 'EDR Agent' 'VPN Client'],['CRM Client' 'Chrome' 'Softphone'],['HR'],Local Admin,Call Center Workstation,Moderate,High,High,synthetic_ml_seed,0.7,True
wks-0197,Windows,11,4,64,True,True,[ 139  445 8000],[],['Anaconda' 'Jupyter' 'PyTorch' 'Python' 'RStudio' 'TensorFlow' 'Zoom'],['Engineering'],Standard User,Data Science Workstation,Moderate,Moderate,Moderate,synthetic_rules,0.91,True
wks-0198,Windows,10,4,16,False,True,[ 135  139 3389],[],['Chrome' 'Postman' 'Selenium' 'VPN Client' 'Zoom'],['Finance'],Standard User,QA Test Workstation,Moderate,Moderate,Moderate,synthetic_ml_seed,0.77,True
wks-0199,Windows,10,8,16,True,True,[139 445],['EDR Agent' 'Print Spooler' 'VPN Client'],['Adobe Creative Cloud' 'Blender' 'Figma' 'Firefox' 'VPN Client'],['Help Desk'],Power User,Graphic Design Workstation,Moderate,Moderate,Moderate,synthetic_hybrid,0.86,True
wks-0200,macOS,14,8,32,True,False,[631],['Backup Agent' 'Print Spooler'],['Docker Desktop' 'Git' 'IntelliJ' 'Node.js' 'PyCharm' 'VS Code'],['Developers' 'Engineering' 'Executives'],Standard User,Developer Workstation,Moderate,Moderate,Moderate,synthetic_rules,0.86,True
wks-0201,Windows,10,4,32,False,True,[ 135  139 3389],['OneDrive Sync' 'Print Spooler' 'RDP' 'VPN Client'],['Burp Suite' 'Firefox' 'Splunk' 'Sysinternals' 'Teams' 'Wireshark'],['Domain Users' 'Engineering'],Standard User,SOC Analyst Workstation,High,High,Moderate,synthetic_hybrid,0.83,True
wks-0202,Windows,10,32,32,False,True,[ 139  445 3389],['Backup Agent' 'OneDrive Sync' 'VPN Client'],['Chrome' 'Excel' 'Firefox' 'Power BI Desktop' 'SAP GUI' 'Zoom'],['Engineering'],Standard User,Finance Workstation,High,High,Moderate,synthetic_ml_seed,0.88,True
wks-0203,Ubuntu Desktop,22.04,32,16,False,True,[8000],['Defender' 'OneDrive Sync' 'RDP' 'SSH'],['Chrome' 'Postman' 'Selenium'],['Domain Users' 'HR'],Local Admin,QA Test Workstation,Moderate,High,Moderate,synthetic_ml_seed,0.95,True
wks-0204,Windows,10,8,16,False,True,[139 445],['Backup Agent' 'Defender' 'EDR Agent'],['Chrome' 'Office' 'Teams' 'VPN Client' 'Workday' 'Zoom'],['Executives'],Standard User,HR Workstation,High,High,Moderate,synthetic_ml_seed,0.87,True
wks-0205,Windows,10,4,32,False,True,[135 139],[],['PowerShell' 'PuTTY' 'RSAT' 'VMware Workstation'],['HR' 'IT Operations'],Standard User,IT Admin Workstation,High,High,Moderate,synthetic_rules,0.98,True
wks-0206,Windows,10,32,64,False,True,[139],[],['Excel' 'Power BI Desktop' 'SAP GUI' 'VPN Client' 'Zoom'],['Domain Users' 'Executives'],Power User,Finance Workstation,High,High,Moderate,synthetic_ml_seed,0.97,True
wks-0207,Windows,10,32,16,False,True,[ 139  445 5601],['Defender' 'Print Spooler' 'RDP' 'VPN Client'],['Burp Suite' 'Office' 'Splunk' 'Sysinternals' 'Teams' 'Wireshark' 'Zoom'],['Finance' 'QA'],Local Admin,SOC Analyst Workstation,High,High,Moderate,synthetic_ml_seed,0.7,True
wks-0208,Windows,10,4,8,False,True,[139],['Defender' 'EDR Agent' 'OneDrive Sync'],['CRM Client' 'Chrome' 'Office' 'Softphone' 'VPN Client'],['QA' 'SOC'],Standard User,Call Center Workstation,Moderate,Moderate,High,synthetic_rules,0.78,True
wks-0209,Windows,11,8,16,False,True,[ 135  139 3389],[],['Office' 'PowerShell' 'PuTTY' 'RSAT' 'Teams' 'VMware Workstation'],['Domain Users'],Local Admin,IT Admin Workstation,High,High,Moderate,synthetic_rules,0.86,True
wks-0210,Windows,10,8,64,False,True,[ 135  139 3389],['Defender' 'RDP' 'VPN Client'],['CRM Client' 'Chrome' 'Office' 'Softphone' 'VPN Client'],['Retail'],Local Admin,Call Center Workstation,Moderate,High,High,synthetic_ml_seed,0.89,True
wks-0211,macOS,14,4,16,False,False,[  22  631 8000 8888],[],['Chrome' 'Postman' 'Selenium'],['IT Operations'],Standard User,QA Test Workstation,Moderate,Moderate,Moderate,synthetic_rules,0.77,True
wks-0212,Windows,10,8,16,False,True,[ 135 3389],['Backup Agent' 'Defender' 'RDP' 'SSH'],['Chrome' 'Office' 'VS Code'],['Domain Users'],Local Admin,Training Lab Workstation,Moderate,High,Moderate,synthetic_hybrid,0.94,True
wks-0213,Ubuntu Desktop,22.04,32,64,True,True,[ 22 631],['Backup Agent' 'EDR Agent' 'SSH' 'VPN Client'],['PuTTY' 'RDP' 'ServiceNow' 'Teams'],['Developers' 'Finance'],Standard User,Help Desk Workstation,Moderate,Moderate,High,synthetic_rules,0.89,True
wks-0214,Windows,11,4,32,False,True,[ 135  139  445 3389],['Defender' 'Print Spooler' 'RDP' 'VPN Client'],['PuTTY' 'RDP' 'ServiceNow' 'Teams'],['Data Scientists'],Standard User,Help Desk Workstation,Moderate,Moderate,High,synthetic_ml_seed,0.83,True
wks-0215,Windows,10,8,16,False,True,[139],[],['Chrome' 'Firefox' 'Office' 'Teams' 'Zoom'],['Domain Users' 'Engineering'],Power User,Standard User Workstation,Moderate,Moderate,Moderate,synthetic_ml_seed,0.97,True
wks-0216,Windows,10,8,32,False,True,[ 139  445 3389 5601],[],['Burp Suite' 'Chrome' 'Splunk' 'Sysinternals' 'Wireshark' 'Zoom'],['HR' 'Training'],Standard User,SOC Analyst Workstation,High,High,Moderate,synthetic_hybrid,0.91,True
wks-0217,Windows,10,32,16,False,True,[ 139  445 3389],['EDR Agent' 'SSH' 'VPN Client'],['Excel' 'Power BI Desktop' 'SAP GUI'],['Help Desk'],Standard User,Finance Workstation,High,High,Moderate,synthetic_rules,0.9,True
wks-0218,Ubuntu Desktop,22.04,16,16,False,True,[ 22 631],[],['Chrome' 'Firefox' 'KioskShell'],['Data Scientists' 'Help Desk'],Standard User,Kiosk Workstation,Moderate,Moderate,Moderate,synthetic_hybrid,0.76,True
wks-0219,Windows,11,16,8,True,True,[ 139 3389 8000 8888],['OneDrive Sync' 'SSH' 'VPN Client'],"['Anaconda' 'Jupyter' 'PyTorch' 'Python' 'RStudio' 'TensorFlow'
 'VPN Client' 'Zoom']",['Help Desk'],Privileged Admin,Data Science Workstation,Moderate,High,Moderate,synthetic_hybrid,0.77,True
wks-0220,Windows,11,32,32,True,True,[3389],['Defender' 'EDR Agent' 'OneDrive Sync' 'SSH'],['AutoCAD' 'Chrome' 'MATLAB' 'SolidWorks' 'Teams' 'VPN Client'],['Call Center' 'HR'],Standard User,Engineering CAD Workstation,Moderate,Moderate,Moderate,synthetic_hybrid,0.92,True
wks-0221,Windows,10,8,32,False,True,[135 139 445],['EDR Agent' 'RDP' 'SSH'],['CRM Client' 'Chrome' 'Softphone' 'VPN Client' 'Zoom'],['Finance' 'Training'],Local Admin,Call Center Workstation,Moderate,High,High,synthetic_ml_seed,0.72,True
wks-0222,Windows,11,16,8,False,True,[ 139  445 3389],['OneDrive Sync' 'Print Spooler' 'RDP' 'VPN Client'],['Chrome' 'Firefox' 'KioskShell' 'Zoom'],['Call Center'],Standard User,Kiosk Workstation,Moderate,Moderate,Moderate,synthetic_rules,0.7,True
wks-0223,Windows,11,16,32,False,True,[ 135 8000],['EDR Agent' 'OneDrive Sync' 'RDP'],['Chrome' 'Postman' 'Selenium' 'Teams' 'VPN Client' 'Zoom'],['SOC'],Standard User,QA Test Workstation,Moderate,Moderate,Moderate,synthetic_hybrid,0.96,True
wks-0224,Windows,11,8,32,False,True,[135],['EDR Agent' 'OneDrive Sync' 'Print Spooler' 'VPN Client'],['Chrome' 'Office' 'Teams'],['Finance'],Standard User,Standard User Workstation,Moderate,Moderate,Moderate,synthetic_rules,0.92,True
wks-0225,Windows,11,8,8,False,True,[135 139 445],['Backup Agent' 'EDR Agent' 'OneDrive Sync' 'RDP'],['Chrome' 'Office' 'VS Code'],['Executives'],Power User,Training Lab Workstation,Moderate,Moderate,Moderate,synthetic_rules,0.84,True
wks-0226,macOS,13,32,8,False,False,[22],['Defender' 'SSH' 'VPN Client'],['Chrome' 'Office' 'Teams'],['QA'],Standard User,Standard User Workstation,Moderate,Moderate,Moderate,synthetic_rules,0.85,True
wks-0227,Windows,11,8,16,True,True,[135 139 445],['Backup Agent' 'Defender' 'SSH'],['Office' 'Teams' 'Zoom'],['Retail'],Power User,Executive Workstation,High,High,Moderate,synthetic_rules,0.77,True
wks-0228,macOS,13,8,8,False,False,[22],['Backup Agent' 'Print Spooler' 'RDP'],['Firefox' 'PowerShell' 'PuTTY' 'RSAT' 'VMware Workstation'],['Call Center' 'Retail'],Standard User,IT Admin Workstation,High,High,Moderate,synthetic_ml_seed,0.81,True
wks-0229,Windows,11,8,64,False,True,[139],[],['Chrome' 'Office' 'VS Code'],['Help Desk'],Standard User,Training Lab Workstation,Moderate,Moderate,Moderate,synthetic_rules,0.74,True
wks-0230,Windows,11,4,8,False,True,[ 135  139  445 3389],['EDR Agent' 'RDP'],"['Chrome' 'Firefox' 'PowerShell' 'PuTTY' 'RSAT' 'VMware Workstation'
 'VPN Client']",['Engineering'],Local Admin,IT Admin Workstation,High,High,Moderate,synthetic_hybrid,0.8,True
wks-0231,macOS,14,32,16,False,True,[631],['Defender' 'RDP' 'SSH' 'VPN Client'],['Chrome' 'KioskShell'],['Finance' 'SOC'],Power User,Kiosk Workstation,Moderate,Moderate,Moderate,synthetic_ml_seed,0.95,True
wks-0232,Windows,10,4,16,False,True,[ 135  139  445 3389],['Backup Agent' 'SSH'],['POS Client' 'Receipt Printer Driver'],['HR' 'SOC'],Standard User,Point of Sale Workstation,Moderate,Moderate,High,synthetic_ml_seed,0.99,True
wks-0233,Windows,10,16,8,False,True,[ 135  445 3389 8888],[],['Chrome' 'Postman' 'Selenium' 'Teams' 'VPN Client'],['Developers' 'Finance'],Local Admin,QA Test Workstation,Moderate,High,Moderate,synthetic_hybrid,0.79,True
wks-0234,Windows,11,4,64,False,True,[ 139 3389],['EDR Agent' 'RDP' 'SSH' 'VPN Client'],['Firefox' 'PuTTY' 'RDP' 'ServiceNow' 'Teams' 'VPN Client'],['Retail'],Standard User,Help Desk Workstation,Moderate,Moderate,High,synthetic_hybrid,0.95,True
wks-0235,Windows,11,8,8,True,True,[ 135  139  445 3389],['EDR Agent' 'RDP' 'SSH'],['AutoCAD' 'MATLAB' 'SolidWorks' 'Teams' 'VPN Client'],['Domain Users'],Local Admin,Engineering CAD Workstation,Moderate,High,Moderate,synthetic_rules,0.8,True
wks-0236,macOS,14,4,16,False,False,[22],['Backup Agent' 'Defender' 'EDR Agent' 'Print Spooler'],['POS Client' 'Receipt Printer Driver'],['Help Desk'],Standard User,Point of Sale Workstation,Moderate,Moderate,High,synthetic_ml_seed,0.89,True
wks-0237,Windows,10,16,8,False,True,[135 139 445],['EDR Agent' 'VPN Client'],['Chrome' 'Office' 'Teams'],['Call Center' 'Help Desk'],Local Admin,Standard User Workstation,Moderate,High,Moderate,synthetic_hybrid,0.83,True
wks-0238,Windows,10,4,64,False,True,[ 135  139  445 3389],['OneDrive Sync' 'RDP' 'SSH'],"['Burp Suite' 'Firefox' 'Splunk' 'Sysinternals' 'Teams' 'VPN Client'
 'Wireshark']",['HR' 'Help Desk'],Local Admin,SOC Analyst Workstation,High,High,Moderate,synthetic_hybrid,0.79,True
wks-0239,Windows,10,16,16,True,True,[ 445 8888],['OneDrive Sync' 'Print Spooler' 'SSH' 'VPN Client'],['Docker Desktop' 'Git' 'IntelliJ' 'Node.js' 'PyCharm' 'VS Code'],['Developers' 'Help Desk' 'SOC'],Local Admin,Developer Workstation,Moderate,High,Moderate,synthetic_ml_seed,0.75,True
wks-0240,Windows,11,4,16,True,True,[135 139 445],['Backup Agent' 'EDR Agent' 'RDP'],['Chrome' 'Office' 'Teams' 'Zoom'],['Retail' 'Training'],Standard User,Executive Workstation,High,High,Moderate,synthetic_ml_seed,0.86,True
wks-0241,Windows,11,4,16,False,True,[445],['EDR Agent' 'Print Spooler' 'RDP'],['CRM Client' 'Chrome' 'Softphone' 'Teams'],['Domain Users'],Standard User,Call Center Workstation,Moderate,Moderate,High,synthetic_ml_seed,0.95,True
wks-0242,Windows,11,32,64,False,True,[135 139],['Defender' 'SSH'],['Chrome' 'KioskShell'],['Finance' 'Help Desk'],Standard User,Kiosk Workstation,Moderate,Moderate,Moderate,synthetic_ml_seed,0.83,True
wks-0243,Windows,11,4,32,False,True,[3389],['OneDrive Sync' 'RDP' 'SSH' 'VPN Client'],['Excel' 'Office' 'Power BI Desktop' 'SAP GUI'],['Call Center' 'Domain Users'],Local Admin,Finance Workstation,High,High,Moderate,synthetic_rules,0.87,True
wks-0244,Windows,10,16,16,False,True,[445],[],['Chrome' 'Firefox' 'Office' 'Teams'],['Domain Users'],Standard User,Standard User Workstation,Moderate,Moderate,Moderate,synthetic_rules,0.71,True
wks-0245,macOS,14,8,16,False,True,[ 22 631],['EDR Agent' 'VPN Client'],['Excel' 'Power BI Desktop' 'SAP GUI'],['Help Desk'],Standard User,Finance Workstation,High,High,Moderate,synthetic_rules,0.71,True
wks-0246,Windows,10,32,64,True,True,[ 135 3389],[],['Adobe Creative Cloud' 'Blender' 'Figma' 'Firefox'],['Data Scientists'],Standard User,Graphic Design Workstation,Moderate,Moderate,Moderate,synthetic_rules,0.74,True
wks-0247,Windows,10,4,64,True,True,[135 139],['Backup Agent' 'Defender' 'RDP' 'SSH'],['PuTTY' 'RDP' 'ServiceNow' 'Teams'],['Developers'],Privileged Admin,Help Desk Workstation,Moderate,High,High,synthetic_hybrid,0.78,True
wks-0248,Windows,10,8,16,False,True,[139],['OneDrive Sync' 'Print Spooler' 'RDP' 'VPN Client'],['Burp Suite' 'Office' 'Splunk' 'Sysinternals' 'Wireshark'],['SOC'],Local Admin,SOC Analyst Workstation,High,High,Moderate,synthetic_rules,0.94,True
wks-0249,Windows,11,16,64,False,True,[139 445],['Backup Agent' 'EDR Agent' 'Print Spooler' 'SSH'],['Burp Suite' 'Splunk' 'Sysinternals' 'Wireshark'],['Finance' 'QA'],Privileged Admin,SOC Analyst Workstation,High,High,Moderate,synthetic_rules,0.88,True
wks-0250,Windows,10,4,16,False,True,[445],['Backup Agent' 'OneDrive Sync' 'VPN Client'],['Chrome' 'KioskShell' 'Office'],['Help Desk' 'Retail'],Standard User,Kiosk Workstation,Moderate,Moderate,Moderate,synthetic_hybrid,0.81,True
wks-0251,macOS,13,16,32,False,True,[ 22 631],['EDR Agent' 'Print Spooler' 'SSH' 'VPN Client'],['Office' 'Teams' 'Zoom'],['Help Desk' 'Retail'],Standard User,Executive Workstation,High,High,Moderate,synthetic_rules,0.8,True
wks-0252,Windows,10,32,32,True,True,[ 135  139 3389],['EDR Agent' 'OneDrive Sync' 'Print Spooler' 'RDP'],['Chrome' 'Office' 'Teams' 'Zoom'],['QA'],Power User,Executive Workstation,High,High,Moderate,synthetic_ml_seed,0.9,True
wks-0253,macOS,14,16,16,False,True,[ 22 631],['Print Spooler' 'RDP' 'SSH'],['Chrome' 'Office' 'Teams' 'VS Code'],['HR'],Power User,Training Lab Workstation,Moderate,Moderate,Moderate,synthetic_ml_seed,0.88,True
wks-0254,Windows,11,16,8,False,True,[135 139 445],['Backup Agent' 'Defender' 'Print Spooler' 'SSH'],['Office' 'Teams' 'Zoom'],['IT Operations'],Local Admin,Executive Workstation,High,High,Moderate,synthetic_rules,0.71,True
wks-0255,Windows,11,4,8,False,True,[ 135  445 3389 8000],[],['Chrome' 'Firefox' 'Postman' 'Selenium' 'Zoom'],['Data Scientists'],Local Admin,QA Test Workstation,Moderate,High,Moderate,synthetic_hybrid,0.79,True
wks-0256,Ubuntu Desktop,22.04,8,32,False,True,[ 22 631],['Backup Agent' 'Print Spooler' 'SSH' 'VPN Client'],['Firefox' 'POS Client' 'Receipt Printer Driver' 'VPN Client'],['IT Operations'],Power User,Point of Sale Workstation,Moderate,Moderate,High,synthetic_rules,0.99,True
wks-0257,Windows,10,16,8,False,True,[139],['OneDrive Sync' 'RDP' 'SSH' 'VPN Client'],"['Burp Suite' 'Chrome' 'Splunk' 'Sysinternals' 'Teams' 'VPN Client'
 'Wireshark']",['QA' 'SOC'],Standard User,SOC Analyst Workstation,High,High,Moderate,synthetic_rules,0.8,True
wks-0258,Windows,11,8,8,False,True,[135],['OneDrive Sync' 'Print Spooler' 'RDP' 'VPN Client'],['Office' 'Teams' 'Zoom'],['Retail'],Standard User,Executive Workstation,High,High,Moderate,synthetic_hybrid,0.76,True
wks-0259,Windows,10,4,32,False,True,[ 135  139  445 3389],['Defender' 'RDP'],['Office' 'Teams' 'Zoom'],['Developers' 'Training'],Privileged Admin,Executive Workstation,High,High,Moderate,synthetic_rules,0.72,True
wks-0260,Windows,11,4,16,False,True,[135],['Defender' 'EDR Agent' 'OneDrive Sync'],['Chrome' 'Firefox' 'Office' 'VPN Client' 'VS Code'],['Data Scientists'],Standard User,Training Lab Workstation,Moderate,Moderate,Moderate,synthetic_ml_seed,0.96,True
wks-0261,macOS,13,8,64,False,False,[22],['EDR Agent' 'OneDrive Sync'],['Chrome' 'Office' 'VS Code'],['SOC' 'Training'],Local Admin,Training Lab Workstation,Moderate,High,Moderate,synthetic_hybrid,0.79,True
wks-0262,macOS,13,4,16,False,False,[ 22 631],[],['PuTTY' 'RDP' 'ServiceNow' 'Teams'],['Finance'],Privileged Admin,Help Desk Workstation,Moderate,High,High,synthetic_hybrid,0.82,True
wks-0263,Windows,10,4,8,False,True,[139],[],['Docker Desktop' 'Git' 'IntelliJ' 'Node.js' 'PyCharm' 'VS Code'],['Developers' 'Engineering'],Local Admin,Developer Workstation,Moderate,High,Moderate,synthetic_ml_seed,0.99,True
wks-0264,macOS,14,8,8,False,False,[631],['Backup Agent' 'OneDrive Sync'],['Chrome' 'Office' 'Teams'],['Data Scientists' 'IT Operations'],Standard User,Standard User Workstation,Moderate,Moderate,Moderate,synthetic_hybrid,0.72,True
wks-0265,macOS,14,16,16,False,True,[ 22 631],['Defender' 'SSH'],['Chrome' 'Office' 'Teams' 'VPN Client' 'Workday'],['Data Scientists' 'Finance'],Standard User,HR Workstation,High,High,Moderate,synthetic_ml_seed,0.73,True
wks-0266,Windows,10,32,16,True,True,[ 135  139 3389],['EDR Agent' 'OneDrive Sync' 'Print Spooler' 'SSH'],['Chrome' 'KioskShell' 'Office' 'VPN Client' 'Zoom'],['Executives'],Standard User,Kiosk Workstation,Moderate,Moderate,Moderate,synthetic_rules,0.9,True
wks-0267,Ubuntu Desktop,22.04,4,16,False,True,[  22 8000 8888],[],['Chrome' 'Office' 'Postman' 'Selenium' 'VPN Client' 'Zoom'],['Call Center' 'Help Desk'],Local Admin,QA Test Workstation,Moderate,High,Moderate,synthetic_ml_seed,0.86,True
wks-0268,macOS,14,4,64,False,False,[ 22 631],['EDR Agent' 'OneDrive Sync' 'SSH' 'VPN Client'],['Office' 'Teams' 'Zoom'],['Call Center' 'Data Scientists'],Standard User,Executive Workstation,High,High,Moderate,synthetic_rules,0.93,True
wks-0269,Windows,11,4,16,True,True,[ 135  139  445 8888],[],"['Anaconda' 'Chrome' 'Jupyter' 'Office' 'PyTorch' 'Python' 'RStudio'
 'TensorFlow' 'VPN Client']",['Developers' 'Finance'],Standard User,Data Science Workstation,Moderate,Moderate,Moderate,synthetic_rules,0.96,True
wks-0270,Windows,11,8,16,False,True,[ 135  139  445 3389],['Backup Agent' 'Defender' 'SSH' 'VPN Client'],['Chrome' 'Firefox' 'POS Client' 'Receipt Printer Driver' 'Teams'],['Data Scientists' 'Finance'],Privileged Admin,Point of Sale Workstation,Moderate,High,High,synthetic_ml_seed,0.73,True
wks-0271,Windows,11,4,16,True,True,[139 445],['Backup Agent' 'VPN Client'],['Adobe Creative Cloud' 'Blender' 'Figma' 'Office' 'Teams'],['SOC'],Local Admin,Graphic Design Workstation,Moderate,High,Moderate,synthetic_rules,0.89,True
wks-0272,Windows,10,8,64,False,True,[135 445],['Backup Agent' 'SSH'],['Burp Suite' 'Firefox' 'Office' 'Splunk' 'Sysinternals' 'Wireshark'],['Call Center' 'Data Scientists'],Privileged Admin,SOC Analyst Workstation,High,High,Moderate,synthetic_hybrid,0.86,True
wks-0273,macOS,14,8,16,True,True,[ 22 631],['Defender' 'EDR Agent' 'Print Spooler'],['AutoCAD' 'MATLAB' 'SolidWorks'],['Call Center'],Standard User,Engineering CAD Workstation,Moderate,Moderate,Moderate,synthetic_rules,0.98,True
wks-0274,Windows,10,8,16,False,True,[135 139 445],['Backup Agent' 'OneDrive Sync' 'Print Spooler'],"['Burp Suite' 'Chrome' 'Firefox' 'Splunk' 'Sysinternals' 'Wireshark'
 'Zoom']",['Developers'],Standard User,SOC Analyst Workstation,High,High,Moderate,synthetic_ml_seed,0.91,True
wks-0275,Windows,10,8,32,False,True,[139],['Backup Agent' 'Defender' 'EDR Agent' 'SSH'],['Office' 'Teams' 'Zoom'],['Call Center'],Standard User,Executive Workstation,High,High,Moderate,synthetic_hybrid,0.89,True
wks-0276,Windows,10,8,16,False,True,[ 135  445 3389],['RDP' 'SSH' 'VPN Client'],['Chrome' 'Office' 'Teams' 'Zoom'],['Training'],Standard User,Standard User Workstation,Moderate,Moderate,Moderate,synthetic_rules,0.98,True
wks-0277,Windows,11,8,8,True,True,[ 135  139  445 3389],['Backup Agent' 'EDR Agent' 'Print Spooler'],['AutoCAD' 'MATLAB' 'SolidWorks'],['Domain Users' 'IT Operations'],Local Admin,Engineering CAD Workstation,Moderate,High,Moderate,synthetic_rules,0.8,True
wks-0278,Windows,11,4,32,True,True,[445],['Defender' 'EDR Agent' 'OneDrive Sync' 'VPN Client'],['AutoCAD' 'MATLAB' 'SolidWorks'],['Finance' 'IT Operations'],Standard User,Engineering CAD Workstation,Moderate,Moderate,Moderate,synthetic_hybrid,0.89,True
wks-0279,Windows,11,8,16,False,True,[ 135  139  445 3389],['Backup Agent' 'VPN Client'],['Chrome' 'Excel' 'Power BI Desktop' 'SAP GUI' 'Zoom'],['HR'],Local Admin,Finance Workstation,High,High,Moderate,synthetic_rules,0.92,True
wks-0280,Windows,10,8,16,True,True,[ 135  139  445 3389],['Defender' 'EDR Agent' 'OneDrive Sync' 'Print Spooler'],['AutoCAD' 'Chrome' 'Firefox' 'MATLAB' 'SolidWorks'],['Data Scientists' 'Executives'],Power User,Engineering CAD Workstation,Moderate,Moderate,Moderate,synthetic_ml_seed,0.77,True
wks-0281,Windows,10,8,64,False,True,[135 139],['EDR Agent' 'Print Spooler' 'RDP' 'VPN Client'],['Firefox' 'Office' 'Teams' 'Workday'],['Data Scientists' 'Help Desk'],Standard User,HR Workstation,High,High,Moderate,synthetic_hybrid,0.92,True
wks-0282,Windows,11,8,16,True,True,[135 139],['Backup Agent' 'EDR Agent' 'RDP'],['Anaconda' 'Jupyter' 'PyTorch' 'Python' 'RStudio' 'TensorFlow'],['Finance' 'QA'],Standard User,Data Science Workstation,Moderate,Moderate,Moderate,synthetic_ml_seed,0.98,True
wks-0283,Windows,11,4,32,False,True,[135 445],[],['POS Client' 'Receipt Printer Driver' 'Zoom'],['SOC'],Standard User,Point of Sale Workstation,Moderate,Moderate,High,synthetic_rules,0.87,True
wks-0284,Windows,10,8,8,False,True,[135],['EDR Agent' 'Print Spooler' 'RDP' 'VPN Client'],['Chrome' 'KioskShell' 'Teams' 'Zoom'],['Domain Users'],Standard User,Kiosk Workstation,Moderate,Moderate,Moderate,synthetic_ml_seed,0.75,True
wks-0285,Windows,11,8,16,False,True,[445],['Defender' 'Print Spooler' 'RDP' 'SSH'],"['Chrome' 'Firefox' 'PowerShell' 'PuTTY' 'RSAT' 'VMware Workstation'
 'VPN Client']",['Call Center' 'Retail'],Privileged Admin,IT Admin Workstation,High,High,Moderate,synthetic_rules,0.95,True
wks-0286,Windows,10,8,32,False,True,[445],['Backup Agent' 'SSH' 'VPN Client'],['Office' 'Teams' 'Workday'],['Domain Users' 'Retail'],Standard User,HR Workstation,High,High,Moderate,synthetic_hybrid,0.89,True
wks-0287,macOS,14,32,8,False,False,[ 631 5601],['Defender' 'EDR Agent' 'VPN Client'],['Burp Suite' 'Splunk' 'Sysinternals' 'Wireshark'],['Data Scientists' 'Developers'],Standard User,SOC Analyst Workstation,High,High,Moderate,synthetic_rules,0.88,True
wks-0288,Windows,11,32,16,False,True,[3389],['Defender' 'EDR Agent' 'OneDrive Sync' 'SSH'],['Excel' 'Power BI Desktop' 'SAP GUI' 'Teams'],['QA' 'SOC'],Local Admin,Finance Workstation,High,High,Moderate,synthetic_ml_seed,0.84,True
wks-0289,Windows,11,32,32,False,True,[135 139],['EDR Agent' 'RDP' 'VPN Client'],['Chrome' 'Firefox' 'Office' 'Teams'],['Call Center' 'QA'],Local Admin,Standard User Workstation,Moderate,High,Moderate,synthetic_ml_seed,0.79,True
wks-0290,Windows,11,4,8,False,True,[135 445],['Backup Agent' 'Print Spooler'],['Chrome' 'KioskShell'],['Engineering'],Local Admin,Kiosk Workstation,Moderate,High,Moderate,synthetic_hybrid,0.88,True
wks-0291,macOS,13,4,16,True,True,[ 22 631],['Print Spooler' 'VPN Client'],['AutoCAD' 'MATLAB' 'SolidWorks'],['Developers' 'IT Operations'],Power User,Engineering CAD Workstation,Moderate,Moderate,Moderate,synthetic_ml_seed,0.76,True
wks-0292,Windows,11,8,16,False,True,[ 135 8888],['Defender' 'OneDrive Sync' 'Print Spooler'],['Chrome' 'Postman' 'Selenium'],['Training'],Power User,QA Test Workstation,Moderate,Moderate,Moderate,synthetic_rules,0.79,True
wks-0293,Windows,11,4,16,True,True,[ 135 3389],[],['Excel' 'Firefox' 'Power BI Desktop' 'SAP GUI' 'VPN Client'],['Call Center' 'Executives'],Local Admin,Finance Workstation,High,High,Moderate,synthetic_ml_seed,0.8,True
wks-0294,Windows,11,8,64,False,True,[ 135  445 3389],['Defender' 'RDP' 'SSH' 'VPN Client'],['Firefox' 'POS Client' 'Receipt Printer Driver' 'VPN Client'],['Domain Users' 'Help Desk'],Privileged Admin,Point of Sale Workstation,Moderate,High,High,synthetic_ml_seed,0.88,True
wks-0295,Windows,10,8,8,True,True,[3389],['OneDrive Sync' 'Print Spooler' 'SSH'],['Chrome' 'Office' 'VPN Client' 'VS Code'],['Domain Users' 'Training'],Standard User,Training Lab Workstation,Moderate,Moderate,Moderate,synthetic_ml_seed,0.88,True
wks-0296,Windows,10,4,8,True,True,[445],['Backup Agent' 'Defender' 'EDR Agent' 'SSH'],['Office' 'Teams' 'Workday'],['Call Center' 'IT Operations'],Local Admin,HR Workstation,High,High,Moderate,synthetic_ml_seed,0.97,True
